# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 22.858989446525111 21.828726986999641 1
12 12.367664600913823 307.06649309514177 14.067082028100808
22 8.6379661294191372 695.6361539252556 31.867921310278426
32 6.4259089974784471 1079.9872309325938 49.475502239585161
42 4.9188251112406789 1413.8367271692439 64.769545563113752
52 3.825097830193545 1677.8065749497237 76.86231890430264
62 3.004291265095496 1867.645327610199 85.559058424364252
72 2.3767782680642333 1988.2187085380122 91.082668710920231
82 1.8923651780763691 2049.8261267689918 93.90497796732673
92 1.5169727635705317 2065.7068557692464 94.632493090389687
102 1.2261711748929751 2050.258544612012 93.924787544095807
112 1.0017254679140286 2017.7405093294644 92.435097590947649
122 0.82960725653264922 1981.3336521053707 90.767256069736803
132 0.69878192541514628 1952.4834749932147 89.445595070937472
142 0.60043084820421788 1940.4725799990424 88.895361655982697
152 0.52743186262306496 1952.1874332030445 89.432033043690225
162 0.47399813510780187 1992.0460950522261 91.258005848834557
172 0.43541850145219246 2062.0612469294342 94.465483404392742
182 0.40786433190955251 2162.0131787386877 99.044400529004761
192 0.38824113476961841 2289.7086090368557 104.89428038568255
202 0.3740711814212509 2441.3035929136554 111.8390272766526
212 0.36339793745581139 2611.6685186737877 119.64364757638859
222 0.354706325868199 2794.7753424311277 128.03198940989961
232 0.34685471963303 2984.0881348921143 136.70463406635318
242 0.33901602252232788 3172.9409918354008 145.35620852856349
252 0.33062579666971864 3354.8872525513261 153.69138358592187
262 0.32133641591181628 3524.0098759332595 161.43909253306552
272 0.31097612695018156 3675.1810035630183 168.36442206418249
282 0.29951267372995294 3804.2660324500644 174.27796108841989
292 0.28702091540913699 3908.2663073273343 179.04233763402459
302 0.27365424154265966 3985.3997299728044 182.57591165743915
312 0.25961959179195687 4035.1206619777463 184.85368681283663
322 0.24515583061410282 4058.0813826571421 185.90554479306013
332 0.23051544782148992 4056.0423739583061 185.81213537435923
342 0.21594928588679965 4031.7364030773879 184.69864987905785
352 0.2016943095434473 3988.6979137784438 182.72700538853965
362 0.18796405522459272 3931.0641710056548 180.08673494092656
372 0.17494172391927909 3863.3611229651556 176.98517761782566
382 0.16277557916790078 3790.2819543657633 173.63733380435383
392 0.15157648721915631 3716.4696206479266 170.25590282297793
402 0.1414173273441334 3646.3122466775985 167.04190990382551
412 0.13233399425536152 3583.7591962766701 164.17628011065514
422 0.12432774356238172 3532.1651530772178 161.81269549895609
432 0.11736860704850678 3494.1675418961154 160.0719796430231
442 0.11139960827609657 3471.6008889925156 159.03817437728134
452 0.10634151861868417 3465.4499146168423 158.75639091004859
462 0.10209794433652929 3475.842556528537 159.23249022256849
472 0.098560472979271133 3502.0798973279798 160.43445407575464
482 0.095613744363456626 3542.7020344034336 162.29540259096797
492 0.09314021368518996 3595.5835402164785 164.71796739946728
502 0.091024521021262544 3658.0550439490617 167.57986144256878
512 0.089157310437010737 3727.0431135279209 170.74028713390413
522 0.087438442314506509 3799.2225623581912 174.04691371241501
532 0.085779545521364423 3871.1741928194574 177.34310365991482
542 0.084105857788246974 3939.539799016201 180.47501356182801
552 0.082357406439731745 4001.1699848228268 183.29836582801056
562 0.080489496179285511 4053.256156396073 185.68449542705989
572 0.078472608449647444 4093.4441684591752 187.52555615804232
582 0.076291723906512648 4119.9230018321814 188.7385830738481
592 0.073945194691037899 4131.4879314150785 189.26838628178524
602 0.071443205311442534 4127.5739802948729 189.08908351609779
612 0.068805957246398819 4108.261404805995 188.20435141512007
622 0.066061656081153844 4074.2532409687406 186.6463968968603
632 0.063244369074181198 4026.8252609754632 184.47366460598857
642 0.060391892724571627 3967.7543235232424 181.76755455717992
652 0.05754368968795278 3899.2278516422521 178.62827520654247
662 0.05473892715702592 3823.7362720034334 175.16991596810502
672 0.052014744843656736 3743.9577688617196 171.51516765459928
682 0.049404789481931631 3662.6402444512346 167.78991494247757
692 0.046937961251309911 3582.479243467872 164.11764394696311
702 0.04463754144014688 3506.0074546567075 160.61438015807116
712 0.042520593785812758 3435.4922708176614 157.38399554237449
722 0.040597651274306625 3372.846178335702 154.51410338057923
732 0.038872767217195743 3319.5609340308019 152.07304283056936
742 0.037343742565788124 3276.6548068301222 150.10746200552936
752 0.036002661416923216 3244.6477457868455 148.64118039129053
762 0.034836582281234652 3223.5557233462009 147.67492970460569
772 0.033828377860332992 3212.906586624707 147.18708005914371
782 0.032957711653547793 3211.7793133807445 147.13543832828907
792 0.03220202330659553 3218.856831540063 147.45966787055846
802 0.031537576947475408 3232.4987703972129 148.08462134884761
812 0.030940436917791383 3250.821689209442 148.92401609793865
822 0.030387409637614684 3271.7903323357436 149.8846146311829
832 0.029856862908139617 3293.3101552836592 150.87046336898297
842 0.029329435913189966 3313.3209622210952 151.78718228481137
852 0.028788596252192687 3329.8850877358896 152.54600461671643
862 0.028221046537771879 3341.2679746590961 153.06746823344432
872 0.027616969862022587 3346.0073165852546 153.28458313570047
882 0.026970114977010906 3342.9679912169436 153.1453480181363
892 0.026277734197929309 3331.3814281186069 152.61455375307278
902 0.025540385059052335 3310.8679524600079 151.67480698401857
912 0.024761606762076727 3281.4407712158945 150.32671273822774
922 0.023947515403678073 3243.4948672189425 148.58836565002827
932 0.023106299813893651 3197.7763918583455 146.49394780386504
942 0.022247704774661314 3145.3424770041456 144.0918876706549
952 0.021382444976213111 3087.5026838970052 141.44217781164264
962 0.02052168107240419 3025.7596340247951 138.61365510809782
972 0.01967644085840186 2961.7321614268953 135.68048027678344
982 0.018857178467669461 2897.0890763180637 132.7191035026211
992 0.018073298303424516 2833.4690229866378 129.80459303348948
1002 0.017332834983393029 2772.4159488683385 127.0076789415839
1012 0.016642164617586757 2715.3130262148952 124.39172599629985
1022 0.016005817429501194 2663.3271723382863 122.01019207049787
1032 0.015426413364060816 2617.3699678164166 119.90483775692566
1042 0.01490461275211194 2578.0590217771187 118.10395646583113
1052 0.014439247229439369 2545.709217841737 116.62197339120438
1062 0.014027426299379652 2520.3212924235454 115.45892226901518
1072 0.013664777754551657 2501.5962179054541 114.60110428772641
1082 0.013345705562483413 2488.9569681291682 114.02208519129384
1092 0.013063674403967485 2481.5799955931743 113.6841372871221
1102 0.012811550351815098 2478.4429490149155 113.54042544446051
1112 0.012581903602377705 2478.3716735380535 113.53716022991526
1122 0.012367336206981376 2480.098399613918 113.61626360946153
1132 0.012160772482622189 2482.3192297702822 113.71800248583699
1142 0.011955720573666732 2483.7519563999354 113.78363740034696
1152 0.011746497019431951 2483.1919452087964 113.75798262022751
1162 0.01152839803352743 2479.5618004604989 113.59168136269383
1172 0.011297823593451108 2471.9549102412843 113.24320065542469
1182 0.011052346044694936 2459.6699019387165 112.6804097831084
1192 0.01079072355255456 2442.2346981740761 111.88168231837699
1202 0.0105128672536784 2419.4207846539316 110.83654974909194
1212 0.010219761028190303 2391.2462007116019 109.54583847861294
1222 0.0099133318651569418 2357.965463081126 108.02120822187389
1232 0.0095963117631795471 2320.0549162653911 106.28448088828668
1242 0.0092720503349854131 2278.183157051898 104.36628569355865
1252 0.0089443149601711423 2233.1742696853098 102.30437491912851
1262 0.0086171187870997135 2185.9736210193532 100.14205694730782
1272 0.0082945020533819972 2137.5976611105284 97.925896566648163
1282 0.0079803444920159353 2089.0866432883945 95.70354902201008
1292 0.0076782300912730554 2041.4666640023916 93.522021014702844
1302 0.0073912724334525429 1995.6976307317493 91.425287050422639
1312 0.0071220019360948138 1952.6336988989081 89.452477007102729
1322 0.0068723141572994148 1912.9976448835735 87.636702132143668
1332 0.0066433866841701227 1877.3447719136673 86.003401528258721
1342 0.0064356678765859496 1846.045001207314 84.569521727343428
1352 0.006248916220238202 1819.279064761369 83.343342277580476
1362 0.0060822208982100976 1797.0298211419426 82.324077909453223
1372 0.0059340749210818264 1779.0895366820218 81.50221209608695
1382 0.0058024835004502704 1765.0794918684101 80.86039524520254
1392 0.0056850590125837553 1754.4680364763794 80.374271826354047
1402 0.0055791387220271152 1746.5980716054669 80.013739355743198
1412 0.0054819174131533078 1740.7222425637574 79.744560624193312
1422 0.005390565435040108 1736.0368933783066 79.529919193740625
1432 0.0053023449280700727 1731.7185777224711 79.332092006731173
1442 0.0052147187232795458 1726.961322517983 79.11415647584468
1452 0.005125442156392883 1721.0112090354355 78.84157468552354
1462 0.0050326371961068837 1713.1975850332062 78.483623257257349
1472 0.0049348468346547304 1702.9596829007385 78.014612758451577
1482 0.0048310707256540965 1689.8683881142852 77.414884941330129
1492 0.0047207757912287734 1673.6403471007541 76.671459040992659
1502 0.0046038877554957225 1654.1457434785577 75.778388014276047
1512 0.0044807658088788184 1631.4099117152623 74.736832463334579
1522 0.0043521604706507058 1605.608237020092 73.554826993636922
1532 0.0042191487408326398 1577.0515440396712 72.246610852703554
1542 0.0040830665510606413 1546.1687453714023 70.83183303782404
1552 0.0039454438912579961 1513.4886759907765 69.334720109521399
1562 0.0038079110955982934 1479.6089151846702 67.782647887156628
1572 0.0036721204230177754 1445.1679148097119 66.204864611225332
1582 0.0035396751927966371 1410.8178240808347 64.631246014532323
1592 0.0034120675699294708 1377.1986675671235 63.091112385405282
1602 0.0032905976745133789 1344.9029685755975 61.611607922741925
1612 0.0031763326549876414 1314.4543741889654 60.216721523513698
1622 0.0030700809325899213 1286.291280681078 58.926536643531442
1632 0.0029723612649392873 1260.7473496352866 57.756338717605459
1642 0.0028833850112179251 1238.0366013851597 56.715932272298204
1652 0.0028030677682699518 1218.2505771178267 55.809510918496088
1662 0.0027310551053627108 1201.3619244075687 55.035821608976747
1672 0.0026667383619334269 1187.2242371754771 54.388157306770232
1682 0.0026092928833389563 1175.582381992303 53.854830045400035
1692 0.0025577264225406411 1166.0885700243944 53.419907203881941
1702 0.002510932061505401 1158.3219800233333 53.064110459267084
1712 0.0024677333206302265 1151.8063808935676 52.765623097468747
1722 0.0024269391446593239 1146.0338429953727 52.501176256311545
1732 0.0023873949639872925 1140.4883555380113 52.247130866460644
1742 0.0023480283234631966 1134.6685062041372 51.980516632046509
1752 0.0023078882301663865 1128.1086308450178 51.680000923410525
1762 0.0022661783107353643 1120.3982625650408 51.32677976284679
1772 0.0022222809098141755 1111.1982284075245 50.905315232963972
1782 0.0021757732171384125 1100.2536069648963 50.403929080251253
1792 0.0021264325374935806 1087.401769828733 49.815171103488908
1802 0.002074233578725927 1072.5765695596074 49.136011009638501
1812 0.0020193361604392977 1055.8075210520785 48.367800911197314
1822 0.0019620715503400094 1037.2179250287029 47.516189361222501
1832 0.0019029136594572739 1017.0145108279255 46.590646877100099
1842 0.0018424470921954679 995.47445085228242 45.6038710569402
1852 0.001781336137205735 972.93182963859999 44.571166711555883
1862 0.0017202954537146463 949.76400176269613 43.509820903818138
1872 0.0016600523544376097 926.37225284602471 42.438217006320926
1882 0.0016013057453848109 903.15924660774442 41.374801523956563
1892 0.0015447022087044383 880.51476971034117 40.337431048303564
1902 0.0014908097973132365 858.79927814133055 39.342618497762089
1912 0.0014401011292513098 838.33187762168234 38.404982485738216
1922 0.0013929247908652529 819.37077022127255 37.536351556792965
1932 0.001349500628195997 802.1068011911625 36.745468559337738
1942 0.0013099158636971145 786.65726798406388 36.03770702948308
1952 0.0012741331756149742 773.06678158718944 35.415110649723118
1962 0.0012419904859323602 761.30328417927842 34.876210813057568
1972 0.0012132121129050893 751.2610366853911 34.416163486437554
1982 0.0011874295191720455 742.76997026432184 34.027177613549675
1992 0.0011642011224464485 735.60517880857617 33.698949977553646
2002 0.0011430349278367417 729.49892367449377 33.41921515207715
2012 0.0011234084416177326 724.15171888526027 33.174253327577802
2022 0.001104793670213761 719.24747016573122 32.949583848572004
2032 0.0010866799516353191 714.46814232157203 32.730637143754748
