# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
2 1931.2962895063447 1844.2521062998255 1
4 548.42807503205643 1745.7007814344929 0.94656298641129988
6 248.37783762376822 1660.283545716552 0.90024760717103103
8 140.82147170676555 1613.6951987237201 0.87498623057631841
10 90.753158581968052 1588.8195168475168 0.86149800855329361
12 63.480071047731386 1576.0940668311014 0.85459794864665373
14 46.9878616708042 1570.4535945476055 0.85153954233429097
16 36.246356404233723 1569.1100070987898 0.85081101533723547
18 28.852296996386446 1570.4591047933789 0.85154253012850545
20 23.540582543473842 1573.5720315237907 0.85323043750287053
22 19.593409726061257 1577.9043330232989 0.85557952062697784
24 16.578517499292424 1583.1318054887261 0.8584139880230407
26 14.222951183880417 1589.0843963610439 0.86164163290520412
28 12.34766978112831 1595.7364572423894 0.86524854806535101
30 10.830222267211017 1603.0255700078089 0.86920088882208402
32 9.585309424646951 1610.9801410537755 0.87351405783991753
34 8.5517146148962535 1619.6467069176119 0.87821328840293666
36 7.6843208814276593 1629.0328732411981 0.88330270448196602
38 6.949872387569803 1639.2498987112972 0.88884263334266711
40 6.3232849405091223 1650.4665699713319 0.89492459535952973
42 5.785553451094656 1662.9637710569441 0.90170089293995426
44 5.3219621574426279 1677.0928369239039 0.90936202875685035
46 4.921594842413433 1693.4862699559906 0.91825096155301644
48 4.5751018316813621 1712.6089685463742 0.92861977096093939
50 4.2748057790716203 1734.9089997674753 0.94071141024654792
52 4.0135949172960572 1760.4872451284164 0.95458057990809686
54 3.7851582526098984 1789.2071394752008 0.97015323087521754
56 3.5834445899051013 1820.4707599355468 0.98710515428826484
58 3.4037733530483441 1853.7910064218511 1.0051722321961523
60 3.2426699047532823 1888.8782156139259 1.0241974018420046
62 3.0988777680537511 1926.4458980999441 1.0445675466598905
64 2.9721002629388873 1967.7817045596144 1.0669808633200533
66 2.8628015256303359 2014.791499444076 1.0924707595895924
68 2.7701534278962003 2068.6259036220199 1.1216611311196287
70 2.691560370968427 2129.0244342193073 1.1544107375270014
72 2.6228690509684891 2194.078171805279 1.189684514557676
74 2.5599530517783307 2261.2319616190575 1.2260969928649452
76 2.500878731399006 2329.2552456512612 1.2629809328641686
78 2.4469504754087779 2399.7555526875258 1.3012079772012419
80 2.4016812989455376 2476.9116389713799 1.3430439528904088
82 2.3672197110395325 2564.1926134066453 1.3903698982625843
84 2.3422780980016764 2661.6858809849464 1.4432332065083884
86 2.3216112955225094 2764.568425707731 1.4990187167275963
88 2.3003321401221446 2867.3674960453777 1.5547589650301428
90 2.277581647397704 2968.779811550773 1.6097472798917489
92 2.2580772765795345 3074.8908768197639 1.6672833753672665
94 2.2469299499476567 3193.4573742564735 1.7315731202626066
96 2.2443981618670432 3326.3121588065155 1.8036103347498342
98 2.2442566278868972 3465.404367252786 1.8790296377676496
100 2.2399212525325005 3600.5948487190844 1.9523333260239883
102 2.231973723028601 3732.0427120530662 2.0236076723484229
104 2.2277610358788498 3871.7862552930305 2.0993801455166037
106 2.232655096103406 4030.2446708151901 2.185300294383929
108 2.2424681554296431 4201.4255246543917 2.2781188701385457
110 2.2481381447359454 4368.7660645405385 2.3688551308235812
112 2.2470664949593386 4526.1873030720963 2.4542128961712897
114 2.2476116499961671 4689.6895906889331 2.5428679596836616
116 2.2572807933118164 4875.8413812531444 2.6438041548645326
118 2.2713971925392067 5076.2404446658984 2.7524655806686327
120 2.2791329712215731 5266.9162414043349 2.8558548060826108
122 2.2796462280844625 5444.4313873007504 2.952107994727502
124 2.2843668337017871 5635.3082379917269 3.0556062366646839
126 2.298419578885305 5853.6090061351779 3.173974418215217
128 2.3116594506370078 6074.9634115203562 3.2939983588842008
130 2.3148554159667758 6274.2042143605095 3.4020317465970638
132 2.3161484195260531 6471.6063056004305 3.5090681385120357
134 2.3270547375963448 6699.8533617997391 3.6328294482698693
136 2.3413536705329365 6942.9914058911918 3.7646650271806434
138 2.345605283128319 7160.9221026085215 3.8828325466715499
140 2.3446864185448089 7366.3448775237002 3.9942179555391717
142 2.3529721555381675 7604.3360579803439 4.1232627751946209
144 2.3658030685021076 7861.9307970876807 4.2629371387089217
146 2.368114578954394 8088.9664411845015 4.3860415902756484
148 2.3652438262826148 8301.2603173719235 4.501152683527077
150 2.3723798773229574 8552.0960459282451 4.6371621410733015
152 2.3820809379217716 8816.8136994157485 4.7806987283886953
154 2.379627326131831 9040.2720113731793 4.9018634602570303
156 2.3757420887375487 9260.6969861086327 5.0213834401895454
158 2.382908184915344 9527.5591113060655 5.166082814144902
160 2.3866211945760702 9784.74435602419 5.305535139474828
162 2.3785025287781147 9996.002776354173 5.4200847824484439
164 2.3764399644237697 10234.691847115564 5.5495080158263788
166 2.3819400407377334 10509.341771900108 5.69843013110897
168 2.3759834998131377 10736.421134931599 5.82155828818457
170 2.3659638252330746 10946.449139568509 5.9354407687410351
172 2.3674861283463162 11211.975103547502 6.0794156423887182
174 2.3646014386253551 11459.492325312713 6.213625721867392
