# ell Cl ell_ellplus1_Cl_over_2pi quadrupole_normalized
80 2.4016782344645287 2476.9084784984725 1080
82 2.3672217997538629 2564.1948759198513 1118.0592621945548
84 2.3422758775976531 2661.6833577926559 1160.566912895664
86 2.3216080821216525 2764.564599198718 1205.4259545934435
88 2.3003354097108142 2867.3715715926051 1250.2526129658622
90 2.2775817141675492 2968.7798985838622 1294.4694235994755
92 2.2580723049527611 3074.8841068079641 1340.7337671861617
94 2.2469317376050215 3193.4599149710134 1392.4360702497477
96 2.2443979057148256 3326.3117791759082 1450.3631251194799
98 2.2442564828518612 3465.4041433011039 1511.0112090350697
100 2.2399187275417014 3600.5907898849382 1569.956293029069
102 2.2319735888501619 3732.0424876957363 1627.272836966019
104 2.2277610750130421 3871.7863233071598 1688.2049803094133
106 2.2326544547183045 4030.2435130282611 1757.2966590631363
108 2.2424666941315397 4201.4227868071957 1831.9355152365069
110 2.2481389317941369 4368.7675940164409 1904.9024388652499
112 2.2470640098967669 4526.1822974976349 1973.539565039064
114 2.2476109319130475 4689.6880923932058 2044.8325740541834
116 2.2572809942055652 4875.841815193864 2126.0007005190687
118 2.271397438520864 5076.2409943989178 2213.3802365092965
120 2.2791298695766158 5266.9090737206552 2296.5167461765041
122 2.2796478739102741 5444.435317992099 2373.9230554840597
124 2.284365470033058 5635.3048739551323 2457.1474144902668
126 2.2984170483013013 5853.6025612504191 2552.3311906876947
128 2.3116598570624975 6074.9644795928953 2648.8510556262659
130 2.3148552789608914 6274.2038430185712 2735.7248801408373
132 2.3161467325288219 6471.6015919206729 2821.7957102360642
134 2.3270550286877509 6699.8541998847677 2921.3201047549369
136 2.3413526534536016 6942.9883898696608 3027.3332770070124
138 2.3456050645757456 7160.9214353871594 3122.3580593928277
140 2.3446850277499398 7366.3405080376242 3211.9264065434627
142 2.3529709344111174 7604.3321115416084 3315.6972701080772
144 2.3658034711198397 7861.9321350488945 3428.017942350486
146 2.3681129750712251 8088.9609626670153 3527.0087350891049
148 2.3652433033191884 8301.2584819351323 3619.5762735346748
150 2.3723790443089054 8552.0930430296576 3728.9470186928938
152 2.3820798586770175 8816.8097047991996 3844.3707403172057
154 2.3796273587907071 9040.2721354451805 3941.8064862047404
156 2.3757399955205933 9260.6888267010763 4037.9142062205715
158 2.3829089380726267 9527.5621226476596 4154.2782794692666
160 2.3866189972757605 9784.7353474635293 4266.4128557817148
162 2.3785020456134807 9996.000745784535 4358.5303611991958
164 2.3764395644397407 10234.690124491242 4462.6054738814037
166 2.3819393413557535 10509.338686161538 4582.3597761411838
168 2.375981790308161 10736.413410145058 4681.3705809533458
170 2.365964514550591 10946.452328788502 4772.9533076079997
